mother,father,AAY,AAy,AaY,Aay,AαY,Aαy,aaY,aay,aαY,aαy,ααY,ααy
AA,AAY,0.500000000000000,0,0,0,0,0,0,0,0,0,0,0
AA,AAy,0,0.5*q*u*(1 - u) + 0.5*u*(1 - q)*(1 - u) + 0.5*(1 - u)^2,0,0.5*q^2*u^2 + 0.5*q*u^2*(1 - q) + 0.5*q*u*(1 - u),0,0.5*q*u^2*(1 - q) + 0.5*u^2*(1 - q)^2 + 0.5*u*(1 - q)*(1 - u),0,0,0,0,0,0
AA,AaY,0.250000000000000,0,0.250000000000000,0,0,0,0,0,0,0,0,0
AA,Aay,0,0.25 - 0.25*c,0,0.5*c*j*p + 0.25*c*j*(1 - p) + 0.5*c*(1 - j) - 0.25*c + 0.25,0,0.25*c*j*(1 - p),0,0,0,0,0,0
AA,AαY,0.250000000000000,0,0,0,0.250000000000000,0,0,0,0,0,0,0
AA,Aαy,0,0.25 - 0.25*c,0,0.25*c*j*p,0,0.25*c*j*p + 0.5*c*j*(1 - p) + 0.5*c*(1 - j) - 0.25*c + 0.25,0,0,0,0,0,0
AA,aaY,0,0,0.500000000000000,0,0,0,0,0,0,0,0,0
AA,aay,0,0,0,0.500000000000000,0,0,0,0,0,0,0,0
AA,aαY,0,0,0.250000000000000,0,0.250000000000000,0,0,0,0,0,0,0
AA,aαy,0,0,0,0.250000000000000,0,0.250000000000000,0,0,0,0,0,0
AA,ααY,0,0,0,0,0.500000000000000,0,0,0,0,0,0,0
AA,ααy,0,0,0,0,0,0.500000000000000,0,0,0,0,0,0
Aa,AAY,0.250000000000000,0,0.250000000000000,0,0,0,0,0,0,0,0,0
Aa,AAy,0,0.25*q*u*(1 - u) + 0.25*u*(1 - q)*(1 - u) + 0.25*(1 - u)^2,0,0.25*q^2*u^2 + 0.25*q*u^2*(1 - q) + 0.5*q*u*(1 - u) + 0.25*u*(1 - q)*(1 - u) + 0.25*(1 - u)^2,0,0.25*q*u^2*(1 - q) + 0.25*u^2*(1 - q)^2 + 0.25*u*(1 - q)*(1 - u),0,0.25*q^2*u^2 + 0.25*q*u^2*(1 - q) + 0.25*q*u*(1 - u),0,0.25*q*u^2*(1 - q) + 0.25*u^2*(1 - q)^2 + 0.25*u*(1 - q)*(1 - u),0,0
Aa,AaY,0.125000000000000,0,0.250000000000000,0,0,0,0.125000000000000,0,0,0,0,0
Aa,Aay,0,0.125 - 0.125*c,0,0.25*c*j*p + 0.125*c*j*(1 - p) + 0.25*c*(1 - j) - 0.25*c + 0.25,0,0.125*c*j*(1 - p),0,0.25*c*j*p + 0.125*c*j*(1 - p) + 0.25*c*(1 - j) - 0.125*c + 0.125,0,0.125*c*j*(1 - p),0,0
Aa,AαY,0.125000000000000,0,0.125000000000000,0,0.125000000000000,0,0,0,0.125000000000000,0,0,0
Aa,Aαy,0,0.125 - 0.125*c,0,0.125*c*j*p - 0.125*c + 0.125,0,0.125*c*j*p + 0.25*c*j*(1 - p) + 0.25*c*(1 - j) - 0.125*c + 0.125,0,0.125*c*j*p,0,0.125*c*j*p + 0.25*c*j*(1 - p) + 0.25*c*(1 - j) - 0.125*c + 0.125,0,0
Aa,aaY,0,0,0.250000000000000,0,0,0,0.250000000000000,0,0,0,0,0
Aa,aay,0,0,0,0.250000000000000,0,0,0,0.250000000000000,0,0,0,0
Aa,aαY,0,0,0.125000000000000,0,0.125000000000000,0,0.125000000000000,0,0.125000000000000,0,0,0
Aa,aαy,0,0,0,0.125000000000000,0,0.125000000000000,0,0.125000000000000,0,0.125000000000000,0,0
Aa,ααY,0,0,0,0,0.250000000000000,0,0,0,0.250000000000000,0,0,0
Aa,ααy,0,0,0,0,0,0.250000000000000,0,0,0,0.250000000000000,0,0
Aα,AAY,0.250000000000000,0,0,0,0.250000000000000,0,0,0,0,0,0,0
Aα,AAy,0,0.25*q*u*(1 - u) + 0.25*u*(1 - q)*(1 - u) + 0.25*(1 - u)^2,0,0.25*q^2*u^2 + 0.25*q*u^2*(1 - q) + 0.25*q*u*(1 - u),0,0.25*q*u^2*(1 - q) + 0.25*q*u*(1 - u) + 0.25*u^2*(1 - q)^2 + 0.5*u*(1 - q)*(1 - u) + 0.25*(1 - u)^2,0,0,0,0.25*q^2*u^2 + 0.25*q*u^2*(1 - q) + 0.25*q*u*(1 - u),0,0.25*q*u^2*(1 - q) + 0.25*u^2*(1 - q)^2 + 0.25*u*(1 - q)*(1 - u)
Aα,AaY,0.125000000000000,0,0.125000000000000,0,0.125000000000000,0,0,0,0.125000000000000,0,0,0
Aα,Aay,0,0.125 - 0.125*c,0,0.25*c*j*p + 0.125*c*j*(1 - p) + 0.25*c*(1 - j) - 0.125*c + 0.125,0,0.125*c*j*(1 - p) - 0.125*c + 0.125,0,0,0,0.25*c*j*p + 0.125*c*j*(1 - p) + 0.25*c*(1 - j) - 0.125*c + 0.125,0,0.125*c*j*(1 - p)
Aα,AαY,0.125000000000000,0,0,0,0.250000000000000,0,0,0,0,0,0.125000000000000,0
